,game_id,game_date,away_team,home_team,pregame_odds,total_over_points,total_over_stake_percentage,total_over_wager_percentage,total_over_odds,total_over_decimal_odds,total_over_won,total_under_points,total_under_stake_percentage,total_under_wager_percentage,total_under_odds,total_under_decimal_odds,total_under_won,money_away_odds,money_away_decimal_odds,money_away_stake_percentage,money_away_wager_percentage,money_away_won,money_home_odds,money_home_decimal_odds,money_home_stake_percentage,money_home_wager_percentage,money_home_won,spread_away_points,spread_away_odds,spread_away_decimal_odds,spread_away_stake_percentage,spread_away_wager_percentage,spread_away_won,spread_home_points,spread_home_odds,spread_home_decimal_odds,spread_home_stake_percentage,spread_home_wager_percentage,spread_home_won
0,nba.g.2023102407,2023-10-24-10:00,LA Lakers,Denver,"-4.5, O/U 228.5",228.5,87.27,86.63,-110,1.910,False,228.5,12.73,13.37,-110,1.910,True,165,2.650,22.31,14.45,False,-200,1.500,77.69,85.55,True,4.5,-105,1.950,56.91,50.69,False,-4.5,-115,1.870,43.09,49.31,True
0,nba.g.2023102409,2023-10-24-10:00,Phoenix,Golden State,"-2.5, O/U 234.5",234.5,89.5,85.96,-115,1.870,False,234.5,10.49,14.04,-105,1.950,True,120,2.200,28.65,23.08,True,-145,1.700,71.35,76.92,False,2.5,-105,1.950,35.46,47.82,True,-2.5,-115,1.870,64.54,52.18,False
0,nba.g.2023102504,2023-10-25-10:00,Oklahoma City,Chicago,"-2.5, O/U 224.5",224.5,75.67,80.0,-110,1.910,True,224.5,24.32,20.0,-110,1.910,False,115,2.150,34.13,19.82,True,-140,1.720,65.86,80.18,False,2.5,-110,1.910,73.5,73.91,True,-2.5,-110,1.910,26.5,26.09,False
0,nba.g.2023102511,2023-10-25-10:00,Washington,Indiana,"-4.5, O/U 235.5",227.5,55.61,56.55,-225,1.440,True,227.5,44.39,43.45,185,2.850,False,165,2.650,14.33,13.03,False,-200,1.500,85.67,86.97,True,4.5,-110,1.910,71.09,71.37,False,-4.5,-110,1.910,28.91,28.63,True
0,nba.g.2023102512,2023-10-25-10:00,Portland,LA Clippers,"-9.5, O/U 225.5",225.5,78.23,83.66,-110,1.910,True,225.5,21.77,16.34,-110,1.910,False,310,4.100,5.96,3.11,False,-400,1.250,94.03,96.89,True,9.5,-105,1.950,37.76,41.26,False,-9.5,-115,1.870,62.24,58.74,True
0,nba.g.2023102514,2023-10-25-10:00,Detroit,Miami,"-9.5, O/U 218.5",218.5,78.35,82.96,-115,1.870,False,218.5,21.64,17.04,-105,1.950,True,340,4.400,4.22,3.08,False,-450,1.220,95.78,96.92,True,9.5,-110,1.910,30.81,58.59,True,-9.5,-110,1.910,69.19,41.41,False
0,nba.g.2023102517,2023-10-25-10:00,Cleveland,Brooklyn,"-1.5, O/U 218.5",218.5,81.33,85.59,-115,1.870,True,218.5,18.68,14.41,-105,1.950,False,-130,1.770,63.34,69.91,True,110,2.100,36.66,30.09,False,-1.5,-115,1.870,51.91,54.88,False,1.5,-105,1.950,48.09,45.12,True
0,nba.g.2023102518,2023-10-25-10:00,Boston,New York,"-3.5, O/U 223.5",223.5,91.15,92.6,-110,1.910,False,223.5,8.86,7.4,-110,1.910,True,-175,1.570,96.86,77.6,True,145,2.450,3.13,22.4,False,-3.5,-115,1.870,69.34,45.29,True,3.5,-105,1.950,30.66,54.71,False
0,nba.g.2023102519,2023-10-25-10:00,Houston,Orlando,"-4.5, O/U 220.5",220.5,77.86,87.06,-105,1.950,False,220.5,22.14,12.94,-115,1.870,True,150,2.500,50.69,17.5,False,-185,1.550,49.3,82.5,True,4.5,-110,1.910,67.56,68.41,False,-4.5,-110,1.910,32.44,31.59,True
0,nba.g.2023102524,2023-10-25-10:00,Dallas,San Antonio,"-4.5, O/U 231.5",231.5,90.53,96.31,-110,1.910,True,231.5,9.48,3.69,-110,1.910,False,-210,1.480,75.0,84.99,True,170,2.700,24.99,15.01,False,-4.5,-115,1.870,36.05,43.13,True,4.5,-105,1.950,63.95,56.87,False
0,nba.g.2023102526,2023-10-25-10:00,Sacramento,Utah,"-1.5, O/U 234.5",234.5,74.84,81.07,-110,1.910,True,234.5,25.16,18.93,-110,1.910,False,-125,1.800,63.94,66.89,True,105,2.050,36.06,33.11,False,-1.5,-110,1.910,53.45,49.44,True,1.5,-110,1.910,46.55,50.56,False
0,nba.g.2023102528,2023-10-25-10:00,Minnesota,Toronto,"-1.5, O/U 221.5",221.5,86.12,89.55,-110,1.910,False,221.5,13.88,10.45,-110,1.910,True,-105,1.950,66.6,33.72,False,-115,1.870,33.4,66.28,True,1.5,-115,1.870,55.5,50.22,False,-1.5,-105,1.950,44.5,49.78,True
0,nba.g.2023102529,2023-10-25-10:00,New Orleans,Memphis,"-1.5, O/U 224.5",224.5,80.08,86.24,-110,1.910,False,224.5,19.91,13.76,-110,1.910,True,-105,1.950,56.89,27.81,True,-115,1.870,43.12,72.19,False,1.5,-120,1.830,40.94,34.38,True,-1.5,100,2.000,59.06,65.62,False
0,nba.g.2023102530,2023-10-25-10:00,Atlanta,Charlotte,"-4.5, O/U 236.5",236.5,65.45,67.64,-110,1.910,False,236.5,34.54,32.36,-110,1.910,True,-185,1.550,84.28,72.89,False,150,2.500,15.74,27.11,True,-4.5,-105,1.950,65.83,60.69,False,4.5,-115,1.870,34.17,39.31,True
0,nba.g.2023102613,2023-10-26-10:00,Phoenix,LA Lakers,"-6.5, O/U 226.5",226.5,80.88,83.78,-115,1.870,False,226.5,19.14,16.22,-105,1.950,True,200,3.000,24.89,22.11,False,-250,1.400,75.12,77.89,True,6.5,-110,1.910,58.17,72.55,True,-6.5,-110,1.910,41.83,27.45,False
0,nba.g.2023102615,2023-10-26-10:00,Philadelphia,Milwaukee,"-6.5, O/U 227.5",227.5,75.73,75.66,-110,1.910,True,227.5,24.27,24.34,-110,1.910,False,200,3.000,7.47,11.03,False,-250,1.400,92.54,88.97,True,6.5,-115,1.870,46.21,52.27,True,-6.5,-105,1.950,53.79,47.73,False
